Date,Location,Airplane.model,Fatalities
"Mar 4, 2015 at 0744 LT","Kathmandu, Bagmati",Airbus A330,0
"Mar 1, 2015 at 1615 LT","Marco Island, Florida",Canadair CL-601 Challenger,0
"Feb 22, 2015 at 1405 LT","Spokane-Felts Field, Washington",Piper PA-46 Malibu Meridian (Malibu Mirage),1
"Feb 14, 2015 at 2058 LT","Malanje, Malanje",Antonov AN-32,0
"Feb 11, 2015 at 1415 LT","Kendall-Tamiami, Florida",Beechcraft 1900C,4
"Feb 4, 2015 at 2110 LT","Denton, Texas",Cessna 441 Conquest,1
"Feb 4, 2015 at 1054 LT","Taipei-Songshan, Taipei City (<U+81FA><U+5317><U+5E02>)",ATR72-600,43
"Jan 29, 2015","Oranjestad, Dutch Antilles",Canadair CL-601 Challenger,3
"Jan 20, 2015 at 1540 LT","Shatyrkul, Jambyl",PZL-Mielec AN-2,6
"Jan 18, 2015","Abu Adh Dhuhur, Idlib Governorate (<U+0645><U+064F><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+062F><U+0644><U+0628><U+200E>)",Antonov AN-26,30
"Jan 17, 2015 at 1353 LT","Tacloban, Leyte",Canadair Global Express,0
"Jan 16, 2015","Los Roques, Los Roques Federal Dependencies",Britten-Norman Islander,0
"Jan 10, 2015 at 1105 LT","Accra, Greater Accra",Boeing 737-400,0
"Jan 7, 2015 at 1215 LT","Taupo, Waikato Regional Council",PAC 750XL - Pacific Aerospace Corporation,0
"Jan 3, 2015 at 1119 LT","Magadan, Magadan oblast",Antonov AN-26,0
"Jan 2, 2015 at 0833 LT","Stornoway, Hebrides Islands",Saab 340,0
"Dec 30, 2014 at 0430 LT","Denver-Centennial, Colorado",Cessna 404 Titan,1
"Dec 28, 2014 at 1145 LT","Mahdia, Guyana",Britten-Norman Islander,2
"Dec 28, 2014 at 0618 LT","Java Sea, Indonesia",Airbus A320,162
"Dec 28, 2014 at 0300 LT","Uvira, Sud-Kivu",Antonov AN-26,6
"Dec 24, 2014","Piedecuesta, Santander",Cessna 207 Skywagon,7
"Dec 23, 2014","La Bonanza, Miranda",Partenavia P.68,1
"Dec 19, 2014","Champotón, Campeche",Learjet 25,2
"Dec 12, 2014 at 1500 LT","Obo, Haut-Mbomou",Antonov AN-26,0
"Dec 12, 2014 at 0620 LT","Hokandara, Western Province (<U+0BAE><U+0BC7><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>)",Antonov AN-32,5
"Dec 8, 2014 at 1045 LT","Gaithersburg, Maryland",Embraer EMB-500 Phenom 100,6
"Dec 3, 2014","Mariquita, Tolima",Piper PA-31-350 Navajo Chieftain,10
"Dec 2, 2014 at 0850 LT","Nassau, New Providence",Piper PA-31-350 Navajo Chieftain,1
"Nov 27, 2014","Teniente Rodolfo Marsh (King George Island), Antarctica",Lockheed C-130 Hercules,0
"Nov 23, 2014 at 0951 LT","McDade, Texas",Rockwell Aero Commander 500,1
"Nov 21, 2014 at 1010 LT","Houston-Sugar Land, Texas",Embraer EMB-500 Phenom 100,0
"Nov 20, 2014 at 1430 LT","Lima, Lima",Cessna 207 Skywagon,3
"Nov 20, 2014 at 0720 LT","Great Slave Lake, Northwest Territories",Cessna 208B Grand Caravan,0
"Nov 18, 2014 at 0242 LT","Chicago-Midway, Illinois",Rockwell Aero Commander 500,1
"Nov 17, 2014 at 1728 LT","Fulton, Missouri",Cessna 401,0
"Nov 14, 2014 at 1730 LT","Hidalgo, Tamaulipas",Piper PA-31-350 Navajo Chieftain,6
"Nov 14, 2014 at 1300 LT","Ohai, Southland Regional Council",Fletcher FU-24,0
"Nov 14, 2014 at 1020 LT","Panyagor, Jonglei (<U+062C><U+0648><U+0646><U+0642><U+0644><U+064A>)",Avro 748,2
"Nov 9, 2014 at 1710 LT","Freeport, West Grand Bahama",Learjet 35,9
"Oct 30, 2014 at 0948 LT","Wichita, Kansas",Beechcraft Super King Air 200,4
"Oct 29, 2014 at 1835 LT","Saint Martin, Dutch Antilles",Short 360,2
"Oct 25, 2014 at 1400 LT","Shabunda, Sud-Kivu",Let 410UVP,0
"Oct 20, 2014 at 2357 LT","Moscow-Vnukovo, Moscow oblast",Dassault Falcon 50,4
"Oct 12, 2014 at 2025 LT","Punta Cana, La Altagracia",BAe Jetstream 31,0
"Oct 12, 2014 at 1920 LT","Zahedan, Sistan and Baluchestan",Rockwell Grand Commander 690,7
"Oct 10, 2014 at 1000 LT","Los Roques, Los Roques Federal Dependencies",Rockwell Gulfstream Jetprop 840,0
"Sep 21, 2014","Kawm Ushim, Faiyum",Lockheed C-130 Hercules,6
"Sep 20, 2014 at 2130 LT","Chandigarh, Chandigarh",Antonov AN-32,0
"Sep 20, 2014 at 0945 LT","Port Moresby, National Capital District",De Havilland DHC-6 Twin Otter,4
"Sep 14, 2014 at 1500 LT","Buenos Aires, Buenos Aires City",Beechcraft Super King Air 300,2
"Sep 6, 2014 at 1450 LT","Araracuara, Caquetá",Piper PA-31-350 Navajo Chieftain,10
"Sep 6, 2014 at 1030 LT","Mogadishu, Banaadir (<U+0628><U+0646><U+0627><U+062F><U+0631><U+200E>)",Fokker 50,0
"Sep 5, 2014 at 1420 LT","Port Antonio, Portland",Socata TBM-900,2
"Aug 31, 2014 at 1945 LT","Kogatende, Mara Region",Fokker F27 Friendship,3
"Aug 30, 2014 at 0244 LT","Tamanrasset, Tamanghasset",Antonov AN-12,7
"Aug 27, 2014 at 1845 LT","Las Cruces, New Mexico",Cessna 421C Golden Eagle III,4
"Aug 23, 2014 at 1355 LT","Mulume Munene, Sud-Kivu",Let 410UVP,4
"Aug 16, 2014 at 0500 LT","Grand Manan Islands, New Brunswick",Piper PA-31-310 Navajo,2
"Aug 15, 2014 at 1544 LT","Bowie, Texas",Cessna 414 Chancellor,2
"Aug 13, 2014 at 1000 LT","Santos, São Paulo",Cessna 560XLS Citation Excel,7
"Aug 10, 2014 at 0918 LT","Tehran, Tehran City District",HESA IrAn-140-100,39
"Aug 6, 2014 at 1030 LT","Saint-Jean-les-Deux-Jumeaux, Seine-et-Marne",Socata TBM-700,3
"Aug 6, 2014","Prototskiye, Krasnodar Krai",PZL-Mielec AN-2,0
"Jul 28, 2014 at 1500 LT","Foz do Iguaçu, Paraná",Embraer EMB-110 Bandeirante,0
"Jul 24, 2014 at 0147 LT","Gossi, Tombouctou",McDonnell Douglas MD-83,116
"Jul 23, 2014 at 1906 LT","Makung, Penghu County (<U+6F8E><U+6E56><U+7E23>)",ATR72-500,48
"Jul 22, 2014","Herat, Herat",Lockheed C-130 Hercules,0
"Jul 19, 2014","Gulgubip, Western (Fly)",PAC 750XL - Pacific Aerospace Corporation,0
"Jul 17, 2014 at 1619 LT","Shakhtarsk, Donetsk Oblast",Boeing 777-200,298
"Jul 14, 2014 at 1200 LT","Donetsk, Donetsk Oblast",Antonov AN-26,2
"Jul 11, 2014 at 1550 LT","Saint John Harbour, British Columbia",De Havilland DHC-2 Beaver,0
"Jul 6, 2014 at 1630 LT","Chirundu, Southern",Britten-Norman Islander,0
"Jul 6, 2014 at 0950 LT","Monkey Mountain, Guyana",Britten-Norman Islander,0
"Jul 5, 2014 at 1618 LT","Czestochowa, Silesian Voivodeship (Slaskie)",Piper PA-31-350 Navajo Chieftain,11
"Jul 2, 2014 at 0400 LT","Nairobi, Nairobi City District",Fokker 50,4
"Jun 26, 2014 at 0445 LT","Creve Coeur, Missouri",Cessna 414 Chancellor,0
"Jun 23, 2014 at 1530 LT","Olsberg, North Rhine-Westphalia",Learjet 35,2
"Jun 18, 2014 at 1421 LT","Huntsville, Alabama",IAI 1124 Westwind,3
"Jun 17, 2014 at 1730 LT","Lost Trail, Montana",Grumman G-21A Goose,1
"Jun 17, 2014 at 1030 LT","Lydenburg, Mpumalanga",Cessna 208 Caravan,3
"Jun 14, 2014 at 0110 LT","Luhansk, Luhansk Oblast",Ilyushin II-76,49
"Jun 13, 2014","Aruanã, Goiás",Cessna 525 CJ1,0
"Jun 8, 2014 at 1130 LT","Olsztyn, Warmian-Masurian Voivodeship (Warminsko-Mazurskie)",PZL-Mielec AN-2,0
"Jun 7, 2014 at 1440 LT","Rybinsk, Yaroslavl oblast",PZL-Mielec AN-2,1
"Jun 6, 2014","Drobyshevo, Donetsk Oblast",Antonov AN-30,5
"Jun 3, 2014 at 1425 LT","Moscow-Sheremetyevo, Moscow oblast",Ilyushin II-96,0
"Jun 2, 2014 at 1700 LT","Bahía Solano, Chocó",Beechcraft Super King Air 200,0
"May 31, 2014 at 2142 LT","Bedford, Massachusetts",Gulfstream GIV,7
"May 27, 2014 at 1245 LT","Carmelo, Colonia",Beechcraft Super King Air 200,5
"May 17, 2014 at 1000 LT","Fort Huachuca, Arizona",Rockwell Aero Commander 500,0
"May 17, 2014 at 0700 LT","Xiang Khouang, Xiang Khouang Province",Antonov AN-74TK-300,16
"May 12, 2014","El Wak, North Eastern",Harbin Yunsunji Y-12,1
"May 10, 2014 at 1539 LT","Page, Arizona",Cessna 207 Skywagon,1
"May 9, 2014 at 1630 LT","Terbuny, Lipetsk oblast",PZL-Mielec AN-2,0
"May 8, 2014 at 1704 LT","Kabul, Kabul",Boeing 737-400,0
"May 8, 2014 at 1202 LT","San Vincente del Caguán, Caquetá",Douglas DC-3,5
"May 4, 2014 at 1200 LT","Bucaramanga, Santander",Piper PA-31-350 Navajo Chieftain,2
"Apr 29, 2014 at 0226 LT","East Midlands, Leicestershire",Boeing 737-400,0
"Apr 27, 2014","Deán Funes, Córdoba",Piper PA-31-350 Navajo Chieftain,0
"Apr 26, 2014 at 1128 LT","Spruce Creek, Florida",Cessna 525 CJ3,0
"Apr 20, 2014 at 1530 LT","Jämijärvi, Satakunta",Comp Air CA-8,8
"Apr 20, 2014","Guriceel, Galgaduud (<U+062C><U+0644><U+062C><U+062F><U+0648><U+062F><U+200E>)",Fokker 50,0
"Apr 19, 2014 at 1945 LT","Saltillo, Coahuila",BAe 125,8
"Apr 9, 2014 at 0940 LT","Doyo Baru, Special Region of Papua",Quest Kodiak 100,2
"Apr 8, 2014 at 1830 LT","Bethel, Alaska",Cessna 208B Grand Caravan,2
"Mar 28, 2014","Gwalior, Madhya Pradesh",Lockheed C-130 Hercules,5
"Mar 27, 2014 at 1130 LT","Chandigarh, Chandigarh",Beechcraft Super King Air 200,0
"Mar 22, 2014 at 1400 LT","Montrose, Colorado",Socata TBM-700,5
"Mar 14, 2014 at 1730 LT","Stuart, Florida",Cessna 402,0
"Mar 12, 2014 at 0620 LT","Villavicencio, Meta",Beechcraft King Air 90,5
"Mar 8, 2014 at 0130 LT","Indian Ocean, World",Boeing 777-200,239
"Mar 3, 2014 at 1846 LT","Kish Island, Hormozgan",Dassault Falcon 20,4
"Mar 3, 2014","Guasdualito, Apure",Beechcraft King Air 90,0
"Mar 2, 2014 at 1415 LT","Masila, Hadhramaut (<U+062D><U+0636><U+0631><U+0645><U+0648><U+062A>)",Antonov AN-26,0
"Feb 27, 2014 at 0545 LT","Panda Ranch (Molokai), Hawaii",Partenavia P.68,0
"Feb 26, 2014 at 2105 LT","Lanai, Hawaii",Piper PA-31-350 Navajo Chieftain,3
"Feb 25, 2014 at 1000 LT","Lukapa, Lunda Norte",Embraer EMB-120 Brasília,0
"Feb 21, 2014 at 0130 LT","Grombalia, Nabeul Governorate (<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0646><U+0627><U+0628><U+0644><U+200E>)",Antonov AN-26,11
"Feb 19, 2014 at 0835 LT","Pearland, Texas",Beechcraft King Air 100,1
"Feb 17, 2014","Rubkona, Unity (<U+0627><U+0644><U+0648><U+062D><U+062F><U+0629>)",Avro 748,1
"Feb 16, 2014 at 1315 LT","Arghakhanchi, Lumbini",De Havilland DHC-6 Twin Otter,18
"Feb 15, 2014 at 1640 LT","Stella Maris, Long Island",Cessna 501 Citation I,0
"Feb 11, 2014 at 1138 LT","Aïn Kercha, Oum el-Bouaghi",Lockheed C-130 Hercules,76
"Feb 4, 2014 at 0600 LT","Otane, Hawke's Bay Regional Council",PAC Cresco 08-600,0
"Feb 3, 2014 at 1657 LT","Bellevue, Tennessee",Rockwell Gulfstream Jetprop 840,4
"Feb 3, 2014 at 0700 LT","Lanseria, Gauteng",Beechcraft King Air 90,3
"Jan 29, 2014 at 0843 LT","Ilulissat, Qaasuitsup Kommunia",De Havilland Dash-8-200,0
"Jan 28, 2014 at 0731 LT","Paris-Roissy-CDG, Val-d'Oise",Saab 2000,0
"Jan 27, 2014 at 1730 LT","Columbia, California",Beechcraft King Air 90,0
"Jan 26, 2014 at 1130 LT","Honiara, Solomon Islands",Boeing 737-300,0
"Jan 20, 2014 at 1600 LT","Petreasa, Alba",Britten-Norman Islander,2
"Jan 20, 2014 at 0935 LT","Addis Ababa, Addis Ababa City District",PZL-Mielec AN-28,0
"Jan 19, 2014 at 1000 LT","Tual, Maluku",Piper PA-31-350 Navajo Chieftain,4
"Jan 18, 2014 at 1056 LT","Olive Creek, Guyana",Cessna 208B Grand Caravan,2
"Jan 18, 2014 at 0430 LT","Saltillo, Coahuila",Douglas DC-9,0
"Jan 11, 2014 at 1200 LT","Trier-Föhren, Rhineland-Palatinate",Cessna 501 Citation I,4
"Jan 9, 2014","Afghanistan, Afghanistan",Beechcraft Super King Air 300,3
"Jan 6, 2014 at 1508 LT","Cayenne, French Guyana",Gippsland GA8 Airvan,0
"Jan 5, 2014 at 1222 LT","Aspen, Colorado",Canadair CL-601 Challenger,1
"Dec 26, 2013 at 2130 LT","Irkutsk, Irkutsk oblast",Antonov AN-12,9
"Dec 19, 2013 at 2100 LT","Viña del Mar, Región de Valparaíso",Beechcraft King Air 90,0
"Dec 17, 2013 at 1925 LT","Atlanta, Georgia",Raytheon 390 Premier I,2
"Dec 14, 2013 at 1425 LT","Tofino, British Columbia",Cessna 421B Golden Eagle II,2
"Dec 11, 2013 at 1545 LT","Kalaupapa, Hawaii",Cessna 208B Grand Caravan,1
"Dec 4, 2013 at 2119 LT","Abuja, Abuja Federal Capital Territory",Boeing 747-200,0
"Dec 4, 2013","Pukanu, Pará",Britten-Norman Islander,5
"Dec 3, 2013 at 0940 LT","Crescent City, Florida",Rockwell Grand Commander 680,0
"Dec 2, 2013 at 2010 LT","Sabana Hoyos, Puerto Rico",Swearingen SA227AC Metro III,2
"Nov 30, 2013","Omega AFB, Kavango Region",Antonov AN-26,0
"Nov 29, 2013 at 1824 LT","Saint Mary's, Alaska",Cessna 208B Grand Caravan,4
"Nov 29, 2013 at 1230 LT","Divundu, Kavango Region",Embraer ERJ-190,33
"Nov 25, 2013 at 1330 LT","Kibeni, Gulf",Cessna 208B Grand Caravan,3
"Nov 19, 2013 at 1956 LT","Fort Lauderdale-Hollywood, Florida",Learjet 35,4
"Nov 19, 2013 at 1115 LT","Mouffy, Yonne",Socata TBM-700,6
"Nov 18, 2013 at 1120 LT","Xalapa, Veracruz",Cessna 414 Chancellor,2
"Nov 17, 2013 at 1925 LT","Kazan, Republic of Tatarstan",Boeing 737-500,50
"Nov 10, 2013 at 1834 LT","Red Lake, Ontario",Swearingen SA227AC Metro III,5
"Nov 10, 2013 at 1546 LT","Owasso, Oklahoma",Mitsubishi MU-2 Marquise,1
"Nov 3, 2013 at 1556 LT","Riberalta, Beni",Swearingen SA227AC Metro III,8
"Nov 1, 2013 at 1742 LT","Springdale, Arkansas",Beechcraft King Air 90,2
"Oct 26, 2013 at 0000 LT","Tayozhny, Krasnoyarsk Krai",PZL-Mielec AN-2,2
"Oct 25, 2013 at 0120 LT","Paris-Roissy-CDG, Val-d'Oise",Fokker F27 Friendship,0
"Oct 19, 2013 at 1539 LT","Namur, Namur",Pilatus PC-6 (Porter & Turbo Porter),11
"Oct 19, 2013 at 1149 LT","Balesin, Quezon",BAe 146,0
"Oct 19, 2013 at 0900 LT","Madang, Madang",ATR42-300,0
"Oct 18, 2013 at 1017 LT","Derby, Kansas",Cessna 500 Citation,2
"Oct 16, 2013 at 1555 LT","Pakse, Champasak Province",ATR72-600,49
"Oct 14, 2013","Loreto, Baja California Sur",Cessna 208B Grand Caravan,14
"Oct 10, 2013 at 1450 LT","Kudat, Sabah",De Havilland DHC-6 Twin Otter,2
"Oct 10, 2013 at 0440 LT","Skulyn, Volyn Oblast",PZL-Mielec AN-2,2
"Oct 6, 2013 at 1425 LT","Sevryukovo, Bryansk oblast",PZL-Mielec AN-2,0
"Oct 6, 2013 at 0605 LT","Culebra, Puerto Rico",Britten-Norman Islander,1
"Oct 5, 2013 at 0100 LT","Acandí, Chocó",De Havilland Dash-8-200,4
"Oct 3, 2013 at 0932 LT","Lagos, Lagos",Embraer EMB-120 Brasília,16
"Sep 29, 2013 at 1820 LT","Santa Monica, California",Cessna 525 CJ2,4
"Sep 25, 2013 at 1400 LT","Hudson Bay, Canada",Cessna 208B Grand Caravan,1
"Sep 24, 2013 at 1040 LT","Lyon-Bron, Rhône",Cessna 421C Golden Eagle III,4
"Sep 19, 2013 at 1553 LT","Idaho Falls, Idaho",Beechcraft King Air 90,0
"Sep 18, 2013 at 1213 LT","Zelenoborsk, Khantia-Mansia okrug",PZL-Mielec AN-2,0
"Sep 9, 2013 at 0950 LT","Viña del Mar, Región de Valparaíso",Dornier DO228,2
"Sep 8, 2013 at 1030 LT","Doylestown, Pennsylvania",Piper PA-31-350 Navajo Chieftain,0
"Sep 4, 2013 at 1020 LT","Jersey, Channel Islands",Cessna 303 Crusader,2
"Sep 4, 2013 at 0755 LT","Colorado Springs, Colorado",Cessna 207 Skywagon,0
"Aug 27, 2013 at 1120 LT","Paris, Illinois",Cessna 421C Golden Eagle III,1
"Aug 25, 2013 at 1604 LT","Guriceel, Galgaduud (<U+062C><U+0644><U+062C><U+062F><U+0648><U+062F><U+200E>)",Antonov AN-26,0
"Aug 22, 2013 at 1200 LT","Lake Manyara, Manyara",Beechcraft Super King Air 200,0
"Aug 22, 2013","Ivanhoe Lake, Northwest Territories",De Havilland DHC-3 Otter,1
"Aug 19, 2013 at 1711 LT","Yellowknife, Northwest Territories",Douglas DC-3,0
"Aug 16, 2013 at 1023 LT","Hesquiat Lake, British Columbia",De Havilland DHC-2 Beaver,2
"Aug 16, 2013","Vilyuisk, Republic of Yakutia (Sakha)",PZL-Mielec AN-2,0
"Aug 14, 2013 at 0451 LT","Birmingham, Alabama",Airbus A300-600,2
"Aug 12, 2013 at 1130 LT","Canons Ashby, Northamptonshire",De Havilland DH.60 Moth,0
"Aug 9, 2013 at 1125 LT","New Haven, Connecticut",Rockwell Grand Commander 690,4
"Aug 9, 2013 at 0800 LT","Mogadishu, Banaadir (<U+0628><U+0646><U+0627><U+062F><U+0631><U+200E>)",Antonov AN-12,4
"Aug 9, 2013 at 0208 LT","Leipzig, Saxony",Antonov AN-12,0
"Aug 8, 2013 at 0940 LT","Clermont-Ferrand, Puy-de-Dôme",Socata TBM-850,3
"Aug 6, 2013","Danfeng, Shaanxi",Shijiazhuang Yunsunji Y-5,1
"Aug 5, 2013 at 1329 LT","Akureyri, Northeastern Region (Norðurland eystra)",Beechcraft Super King Air 200,2
"Aug 2, 2013 at 0915 LT","Mount Nicholas, Otago Regional Council",Cessna 207 Skywagon,0
"Aug 1, 2013 at 1200 LT","Eilat (<U+05D0><U+05D9><U+05DC><U+05EA>), Southern District",Piper PA-31-350 Navajo Chieftain,1
"Jul 30, 2013 at 1200 LT","Tanzania, Tanzania",Cessna 404 Titan,0
"Jul 28, 2013 at 0000 LT","Shakhty, Rostov oblast",PZL-Mielec AN-2,0
"Jul 21, 2013 at 0635 LT","Pyatikhatki, Autonomous Republic of Crimea",PZL-Mielec AN-2,0
"Jul 19, 2013 at 1234 LT","Panama City, Panamá",Britten-Norman Islander,0
"Jul 7, 2013 at 1120 LT","Soldotna, Alaska",De Havilland DHC-3 Otter,10
"Jul 6, 2013 at 1127 LT","San Francisco, California",Boeing 777-200,3
"Jun 29, 2013 at 0700 LT","Francistown, North-East District",Embraer EMB-110 Bandeirante,2
"Jun 28, 2013 at 1940 LT","Kyzylorda, Kyzylorda",Antonov AN-2,1
"Jun 28, 2013 at 1100 LT","Russia, Russia",Antonov AN-2,0
"Jun 25, 2013 at 2030 LT","Wheeling, Illinois",Beechcraft Super King Air 200,0
"Jun 25, 2013","Jérémie, Grand'Anse",Piper PA-31-350 Navajo Chieftain,2
"Jun 20, 2013 at 1646 LT","McClellanville, South Carolina",Rockwell Grand Commander 690,2
"Jun 19, 2013 at 0930 LT","Augsburg, Bavaria",Piper PA-46 Malibu Meridian (Malibu Mirage),0
"Jun 13, 2013 at 1817 LT","Chino, California",Canadair CL-601 Challenger,0
"Jun 13, 2013 at 1345 LT","Marsh Harbour, Central Abaco",Saab 340,0
"Jun 10, 2013 at 1726 LT","Saint-Mathieu-de-Beloeil, Quebec",Beechcraft King Air 100,0
"Jun 10, 2013 at 1000 LT","N'Gaoundéré, Adamaoua",Cessna 208 Caravan,1
"Jun 10, 2013 at 0954 LT","Kupang, East Nusa Tenggara",Xian MA60,0
"Jun 7, 2013 at 1310 LT","Baton Rouge, Louisiana",Beechcraft Super King Air 200,1
"Jun 4, 2013 at 1540 LT","Petersburg, Alaska",De Havilland DHC-2 Beaver,1
"Jun 1, 2013 at 0714 LT","Simikot, Karnali",Dornier DO228,0
"May 31, 2013 at 0709 LT","Wamena, Special Region of Papua",BAe ATP,0
"May 30, 2013 at 1727 LT","Red Lake, Ontario",Beechcraft D18,2
"May 30, 2013 at 0000 LT","Qingdao, Shandong",Harbin SH-5 - Shuishang Hongzha 5,5
"May 29, 2013 at 1540 LT","Sorocaba, São Paulo",Comp Air CA-8,2
"May 27, 2013 at 1042 LT","Simikot, Karnali",Cessna 208B Grand Caravan,0
"May 26, 2013 at 1430 LT","Port-au-Prince, West",Boeing KC-137 Stratoliner,0
"May 24, 2013 at 1002 LT","Jyl-Kol, Jalal-Abad Province",PZL-Mielec AN-2,3
"May 16, 2013 at 1325 LT","California, California",Cessna 421C Golden Eagle III,1
"May 16, 2013 at 1151 LT","Mong Hsat, Shan State",Xian MA60,0
"May 16, 2013 at 1000 LT","Shenyang, Liaoning",Harbin Yunsunji Y-12,0
"May 16, 2013 at 0833 LT","Jomsom, Dhawalagiri",De Havilland DHC-6 Twin Otter,0
"May 15, 2013 at 1033 LT","Piatigorsk, Stavropol Krai",PZL-Mielec AN-2,1
"May 13, 2013 at 1245 LT","McMinville, Oregon",Learjet 35,0
"May 11, 2013 at 1100 LT","Indonesia, Indonesia",Fletcher FU-24,1
"May 5, 2013 at 1000 LT","Valencia, Carabobo",Learjet 60,2
"May 3, 2013 at 1455 LT","Chorgolu, Chuy Province",Boeing KC-135 Stratotanker,3
"May 2, 2013 at 1629 LT","Catskill, New York",Grumman G-44 Widgeon,1
"Apr 30, 2013 at 1235 LT","Zacatecas, Zacatecas",Beechcraft Super King Air 300,6
"Apr 29, 2013 at 1532 LT","Bagram AFB, Parwan",Boeing 747-400,7
"Apr 27, 2013 at 1243 LT","Kandahar, Kandahar",Beechcraft MC-12W Liberty,4
"Apr 26, 2013 at 0915 LT","Rotenburg, Hesse",Socata TBM-700,4
"Apr 17, 2013 at 1435 LT","Sam Neua, Houaphan Province",De Havilland DHC-6 Twin Otter,0
"Apr 13, 2013 at 1510 LT","Denpasar, Bali",Boeing 737-800,0
"Apr 7, 2013 at 1613 LT","Sao Tomé, Água Grande",Beechcraft 1900C,1
"Apr 6, 2013 at 1200 LT","Morelia, Michoacán",Cessna 421B Golden Eagle II,0
"Apr 5, 2013 at 1150 LT","Hammonton, New Jersey",Cessna 414 Chancellor,0
"Apr 4, 2013 at 0030 LT","Mayaguana, Mayaguana",Cessna 402,3
"Mar 29, 2013 at 1300 LT","Bordeaux, Gironde",Beechcraft King Air 90,0
"Mar 23, 2013 at 1515 LT","Ust-Labinsk, Krasnodar Krai",PZL-Mielec AN-2,1
"Mar 17, 2013 at 1623 LT","South Bend, Indiana",Raytheon 390 Premier I,2
"Mar 15, 2013 at 1620 LT","Fort Lauderdale-Hollywood, Florida",Piper PA-31 Cheyenne,3
"Mar 12, 2013 at 2030 LT","Almeirim, Pará",Embraer EMB-821 Carajá,10
"Mar 8, 2013 at 0815 LT","Dillingham, Alaska",Beechcraft 1900C,2
"Mar 6, 2013 at 1727 LT","Roskilde, Sjælland",Partenavia P.68,2
"Mar 6, 2013 at 0830 LT","Pias, La Libertad",Beechcraft Super King Air 200,9
"Mar 4, 2013 at 1744 LT","Goma, Nord-Kivu",Fokker 50,7
"Mar 4, 2013 at 0839 LT","Annemasse, Haute-Savoie",Raytheon 390 Premier I,2
"Mar 2, 2013 at 1344 LT","Rybinsk, Yaroslavl oblast",PZL-Mielec AN-2,0
"Feb 28, 2013","Wau, Western Bahr el Ghazal (<U+063A><U+0631><U+0628> <U+0628><U+062D><U+0631> <U+0627><U+0644><U+063A><U+0632><U+0627><U+0644>)",Let 410UVP,0
"Feb 21, 2013","Santa Lucia AFB, Los Reyes Acozac, México",Pilatus PC-6 (Porter & Turbo Porter),2
"Feb 20, 2013 at 2006 LT","Thomson, Georgia",Raytheon 390 Premier I,5
"Feb 13, 2013 at 1809 LT","Donetsk, Donetsk Oblast",Antonov AN-24,5
"Feb 11, 2013 at 1325 LT","Muscat, Oman",Boeing 737-300,0
"Feb 11, 2013 at 0730 LT","Monrovia, Montserrado",Casa-Nurtanio CN235 (IPTN),11
"Feb 7, 2013 at 1430 LT","Zhytomyr, Ukraine",PZL-Mielec AN-2,0
"Feb 6, 2013 at 1423 LT","Tunis, Tunis Governorate (<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+0648><U+0646><U+0633><U+200E>)",Airbus A320,0
"Feb 6, 2013 at 1135 LT","Casa Grande, Arizona",Beechcraft King Air 90,2
"Feb 3, 2013 at 2030 LT","Cândido Mota, São Paulo",Beechcraft King Air 90,5
"Feb 2, 2013 at 2032 LT","Rome, Lazio",ATR72-500,0
"Jan 29, 2013 at 1313 LT","Almaty, Almaty Province",Canadair RegionalJet CRJ-200,21
"Jan 23, 2013 at 0827 LT","Antarctica, Antarctica",De Havilland DHC-6 Twin Otter,3
"Jan 17, 2013 at 1430 LT","Tuxtla Gutierrez, Chiapas",Piper PA-31-350 Navajo Chieftain,8
"Jan 16, 2013 at 0557 LT","Burlington, North Carolina",Pilatus PC-12,1
"Jan 15, 2013 at 1945 LT","Pellston, Michigan",Cessna 208B Grand Caravan,1
"Jan 4, 2013 at 1145 LT","Los Roques, Los Roques Federal Dependencies",Britten-Norman Islander,6
"Jan 2, 2013 at 1010 LT","Mendoza, Mendoza",Saab 340,0
"Dec 31, 2012 at 1014 LT","San Pedro Sula, Cortés",BAe Jetstream 31,0
"Dec 29, 2012 at 1633 LT","Moscow, Moscow oblast",Tupolev TU-204,5
"Dec 25, 2012 at 1854 LT","Shymkent, South Kazakhstan",Antonov AN-72,27
"Dec 25, 2012 at 0850 LT","Heho, Shan State",Fokker 100,2
"Dec 24, 2012 at 1435 LT","Leesburg, Florida",Piper PA-31-350 Navajo Chieftain,1
"Dec 22, 2012 at 1813 LT","Sanikiluaq, Nunavut",Swearingen SA227AC Metro III,1
"Dec 19, 2012 at 0002 LT","Libby, Montana",Beechcraft King Air 100,2
"Dec 18, 2012 at 1825 LT","Payson, Arizona",Piper PA-31-350 Navajo Chieftain,1
"Dec 17, 2012 at 1041 LT","Tomas, Lima",Antonov AN-26,4
"Dec 15, 2012 at 1000 LT","Ely, Nevada",Piper PA-31 Cheyenne,2
"Dec 14, 2012 at 1805 LT","Amarillo, Texas",Beechcraft King Air 90,2
"Dec 9, 2012 at 0440 LT","Mexico, Mexico",Learjet 25,7
